task_id,afb_passed,afb_error
he_118,True,
he_131,True,
he_135,True,
he_157,True,
mbpp_018,False,
mbpp_059,True,
mbpp_092,True,
mbpp_130,True,
mbpp_109,True,
mbpp_120,True,
mbpp_235,False,
mbpp_242,True,
mbpp_079,True,
mbpp_260,False,
mbpp_249,False,
mbpp_262,True,
mbpp_280,True,
mbpp_296,True,
mbpp_301,False,
mbpp_300,True,
mbpp_312,True,
mbpp_389,True,
mbpp_405,True,
mbpp_414,True,
mbpp_420,True,
mbpp_418,True,
mbpp_429,False,
mbpp_438,False,
mbpp_444,False,
mbpp_448,False,
mbpp_461,False,
mbpp_465,True,
mbpp_468,False,
mbpp_476,True,
mbpp_479,True,
mbpp_565,True,
mbpp_600,True,
mbpp_585,True,
mbpp_736,True,
mbpp_781,True,
mbpp_770,True,
mbpp_783,False,
task_008,True,
mbpp_623,True,
mbpp_612,False,
mbpp_615,False,
mbpp_802,False,
