task_id,source,condition,initial_score,initial_pass,final_score,final_pass,retries_used,final_outcome,initial_handoff_length,final_handoff_length
task_001,hand_easy,ungated,0.988362729549408,1,0.988362729549408,1,0,0,169,169
task_001,hand_easy,gated_blind,0.988362729549408,1,0.988362729549408,1,0,0,169,169
task_001,hand_easy,gated_shap,0.988362729549408,1,0.988362729549408,1,0,0,169,169
task_002,hand_easy,ungated,0.9862769246101379,1,0.9862769246101379,1,0,1,188,188
task_002,hand_easy,gated_blind,0.9862769246101379,1,0.9862769246101379,1,0,1,188,188
task_002,hand_easy,gated_shap,0.9862769246101379,1,0.9862769246101379,1,0,1,188,188
task_003,hand_easy,ungated,0.9764936566352844,1,0.9764936566352844,1,0,1,180,180
task_003,hand_easy,gated_blind,0.9764936566352844,1,0.9764936566352844,1,0,1,180,180
task_003,hand_easy,gated_shap,0.9764936566352844,1,0.9764936566352844,1,0,1,180,180
task_004,hand_easy,ungated,0.988362729549408,1,0.988362729549408,1,0,0,248,248
task_004,hand_easy,gated_blind,0.988362729549408,1,0.988362729549408,1,0,0,248,248
task_004,hand_easy,gated_shap,0.988362729549408,1,0.988362729549408,1,0,0,248,248
task_031,hand_hard,ungated,0.9350815415382385,1,0.9350815415382385,1,0,1,272,272
task_031,hand_hard,gated_blind,0.9350815415382385,1,0.9350815415382385,1,0,1,272,272
task_031,hand_hard,gated_shap,0.9350815415382385,1,0.9350815415382385,1,0,1,272,272
task_032,hand_hard,ungated,0.9572794437408447,1,0.9572794437408447,1,0,1,252,252
task_032,hand_hard,gated_blind,0.9572794437408447,1,0.9572794437408447,1,0,1,252,252
task_032,hand_hard,gated_shap,0.9572794437408447,1,0.9572794437408447,1,0,1,252,252
task_033,hand_hard,ungated,0.9450026750564575,1,0.9450026750564575,1,0,1,304,304
task_033,hand_hard,gated_blind,0.9450026750564575,1,0.9450026750564575,1,0,1,304,304
task_033,hand_hard,gated_shap,0.9450026750564575,1,0.9450026750564575,1,0,1,304,304
task_034,hand_hard,ungated,0.9633878469467163,1,0.9633878469467163,1,0,1,385,385
task_034,hand_hard,gated_blind,0.9633878469467163,1,0.9633878469467163,1,0,1,385,385
task_034,hand_hard,gated_shap,0.9633878469467163,1,0.9633878469467163,1,0,1,385,385
he_000,humaneval,ungated,0.8954355120658875,1,0.8954355120658875,1,0,1,207,207
he_000,humaneval,gated_blind,0.8954355120658875,1,0.8954355120658875,1,0,1,207,207
he_000,humaneval,gated_shap,0.8954355120658875,1,0.8954355120658875,1,0,1,207,207
he_001,humaneval,ungated,0.5402981042861938,1,0.5402981042861938,1,0,1,176,176
he_001,humaneval,gated_blind,0.5402981042861938,1,0.5402981042861938,1,0,1,176,176
he_001,humaneval,gated_shap,0.5402981042861938,1,0.5402981042861938,1,0,1,176,176
he_002,humaneval,ungated,0.49762436747550964,1,0.49762436747550964,1,0,1,138,138
he_002,humaneval,gated_blind,0.49762436747550964,1,0.49762436747550964,1,0,1,138,138
he_002,humaneval,gated_shap,0.49762436747550964,1,0.49762436747550964,1,0,1,138,138
he_003,humaneval,ungated,0.8942351341247559,1,0.8942351341247559,1,0,1,202,202
he_003,humaneval,gated_blind,0.8942351341247559,1,0.8942351341247559,1,0,1,202,202
he_003,humaneval,gated_shap,0.8942351341247559,1,0.8942351341247559,1,0,1,202,202
mbpp_002,mbpp,ungated,0.9835880994796753,1,0.9835880994796753,1,0,0,259,259
mbpp_002,mbpp,gated_blind,0.9835880994796753,1,0.9835880994796753,1,0,0,259,259
mbpp_002,mbpp,gated_shap,0.9835880994796753,1,0.9835880994796753,1,0,0,259,259
mbpp_003,mbpp,ungated,0.988362729549408,1,0.988362729549408,1,0,0,190,190
mbpp_003,mbpp,gated_blind,0.988362729549408,1,0.988362729549408,1,0,0,190,190
mbpp_003,mbpp,gated_shap,0.988362729549408,1,0.988362729549408,1,0,0,190,190
mbpp_004,mbpp,ungated,0.949337899684906,1,0.949337899684906,1,0,1,144,144
mbpp_004,mbpp,gated_blind,0.949337899684906,1,0.949337899684906,1,0,1,144,144
mbpp_004,mbpp,gated_shap,0.949337899684906,1,0.949337899684906,1,0,1,144,144
mbpp_006,mbpp,ungated,0.9723401665687561,1,0.9723401665687561,1,0,0,209,209
mbpp_006,mbpp,gated_blind,0.9723401665687561,1,0.9723401665687561,1,0,0,209,209
mbpp_006,mbpp,gated_shap,0.9723401665687561,1,0.9723401665687561,1,0,0,209,209
