feature,corruption_type,sample_count,auroc,auprc
cosine_similarity,tool_result_drop,112,0.860146,0.948793
cosine_similarity,truncation,73,0.556357,0.861202
cosine_similarity,over_summarization,127,0.785442,0.882589
cosine_similarity,entity_omission,31,0.42374,0.920859
cosine_similarity,signature_rename,433,0.54463,0.536549
cosine_similarity,inject_false_constraint,434,0.504547,0.502484
cosine_similarity,fake_completion,434,0.517565,0.509886
cosine_similarity,invert_objective,227,0.479349,0.644776
cosine_similarity,negate_edge_case,322,0.518229,0.600729
cosine_similarity,wrong_algorithm_name,69,0.55717,0.888766
entity_overlap,tool_result_drop,112,0.920167,0.977405
entity_overlap,truncation,73,0.744887,0.934462
entity_overlap,over_summarization,127,0.931601,0.979571
entity_overlap,entity_omission,31,0.679017,0.961735
entity_overlap,signature_rename,433,0.51648,0.514033
entity_overlap,inject_false_constraint,434,0.501051,0.501044
entity_overlap,fake_completion,434,0.517024,0.513301
entity_overlap,invert_objective,227,0.481171,0.647793
entity_overlap,negate_edge_case,322,0.507989,0.575067
entity_overlap,wrong_algorithm_name,69,0.529486,0.878846
length_ratio,tool_result_drop,112,0.989847,0.997267
length_ratio,truncation,73,0.926867,0.986004
length_ratio,over_summarization,127,0.994993,0.998521
length_ratio,entity_omission,31,0.621228,0.957641
length_ratio,signature_rename,433,0.499657,0.50025
length_ratio,inject_false_constraint,434,0.5,0.5
length_ratio,fake_completion,434,0.5,0.5
length_ratio,invert_objective,227,0.53845,0.68556
length_ratio,negate_edge_case,322,0.478415,0.561749
length_ratio,wrong_algorithm_name,69,0.490082,0.847129
sentence_count_ratio,tool_result_drop,112,0.995392,0.998713
sentence_count_ratio,truncation,73,0.947557,0.989974
sentence_count_ratio,over_summarization,127,0.996644,0.998934
sentence_count_ratio,entity_omission,31,0.573881,0.947472
sentence_count_ratio,signature_rename,433,0.499784,0.500302
sentence_count_ratio,inject_false_constraint,434,0.524382,0.524789
sentence_count_ratio,fake_completion,434,0.508715,0.516639
sentence_count_ratio,invert_objective,227,0.518535,0.664195
sentence_count_ratio,negate_edge_case,322,0.488129,0.571224
sentence_count_ratio,wrong_algorithm_name,69,0.49439,0.862281
section_coverage,tool_result_drop,112,0.995237,0.997873
section_coverage,truncation,73,0.93965,0.981363
section_coverage,over_summarization,127,0.999138,0.999566
section_coverage,entity_omission,31,0.632711,0.950289
section_coverage,signature_rename,433,0.499021,0.500081
section_coverage,inject_false_constraint,434,0.496419,0.4982
section_coverage,fake_completion,434,0.598271,0.555851
section_coverage,invert_objective,227,0.511546,0.661943
section_coverage,negate_edge_case,322,0.483807,0.566174
section_coverage,wrong_algorithm_name,69,0.509484,0.865128
verbatim_copy_rate,tool_result_drop,112,0.617285,0.78686
verbatim_copy_rate,truncation,73,0.419576,0.791663
verbatim_copy_rate,over_summarization,127,0.654514,0.770688
verbatim_copy_rate,entity_omission,31,0.594098,0.946692
verbatim_copy_rate,signature_rename,433,0.503536,0.504492
verbatim_copy_rate,inject_false_constraint,434,0.502283,0.503515
verbatim_copy_rate,fake_completion,434,0.495859,0.495013
verbatim_copy_rate,invert_objective,227,0.479258,0.643619
verbatim_copy_rate,negate_edge_case,322,0.511768,0.586847
verbatim_copy_rate,wrong_algorithm_name,69,0.46649,0.840519
trailing_specificity,tool_result_drop,112,0.978573,0.992685
trailing_specificity,truncation,73,0.565905,0.854687
trailing_specificity,over_summarization,127,0.657653,0.792834
trailing_specificity,entity_omission,31,0.508696,0.932
trailing_specificity,signature_rename,433,0.500785,0.501054
trailing_specificity,inject_false_constraint,434,0.599349,0.594637
trailing_specificity,fake_completion,434,0.959903,0.96552
trailing_specificity,invert_objective,227,0.45313,0.630853
trailing_specificity,negate_edge_case,322,0.514898,0.586916
trailing_specificity,wrong_algorithm_name,69,0.550725,0.873904
constraint_count,tool_result_drop,112,0.955409,0.987525
constraint_count,truncation,73,0.906524,0.980345
constraint_count,over_summarization,127,0.973167,0.991628
constraint_count,entity_omission,31,0.622566,0.960078
constraint_count,signature_rename,433,0.49938,0.500153
constraint_count,inject_false_constraint,434,0.432561,0.451778
constraint_count,fake_completion,434,0.305676,0.380359
constraint_count,invert_objective,227,0.553752,0.698356
constraint_count,negate_edge_case,322,0.454973,0.544894
constraint_count,wrong_algorithm_name,69,0.524912,0.868938
role_pronoun_rate,tool_result_drop,112,0.516767,0.783043
role_pronoun_rate,truncation,73,0.533899,0.857847
role_pronoun_rate,over_summarization,127,0.5214,0.764062
role_pronoun_rate,entity_omission,31,0.50773,0.932458
role_pronoun_rate,signature_rename,433,0.49987,0.500512
role_pronoun_rate,inject_false_constraint,434,0.505936,0.503828
role_pronoun_rate,fake_completion,434,0.52142,0.518592
role_pronoun_rate,invert_objective,227,0.480983,0.648136
role_pronoun_rate,negate_edge_case,322,0.504719,0.576403
role_pronoun_rate,wrong_algorithm_name,69,0.476241,0.856673
novel_api_rate,tool_result_drop,112,0.997696,0.999055
novel_api_rate,truncation,73,0.557193,0.870426
novel_api_rate,over_summarization,127,0.690845,0.846287
novel_api_rate,entity_omission,31,0.528988,0.937213
novel_api_rate,signature_rename,433,0.492766,0.496915
novel_api_rate,inject_false_constraint,434,0.479985,0.490102
novel_api_rate,fake_completion,434,0.480526,0.490238
novel_api_rate,invert_objective,227,0.495752,0.654529
novel_api_rate,negate_edge_case,322,0.491009,0.569541
novel_api_rate,wrong_algorithm_name,69,0.478762,0.85751
function_name_preserved,tool_result_drop,112,0.5,0.794872
function_name_preserved,truncation,73,0.5,0.856016
function_name_preserved,over_summarization,127,0.5,0.773619
function_name_preserved,entity_omission,31,0.5,0.933333
function_name_preserved,signature_rename,433,0.5,0.500577
function_name_preserved,inject_false_constraint,434,0.5,0.5
function_name_preserved,fake_completion,434,0.5,0.5
function_name_preserved,invert_objective,227,0.5,0.656581
function_name_preserved,negate_edge_case,322,0.5,0.574074
function_name_preserved,wrong_algorithm_name,69,0.5,0.862823
signature_param_diff,tool_result_drop,112,0.5,0.794872
signature_param_diff,truncation,73,0.5,0.856016
signature_param_diff,over_summarization,127,0.5,0.773619
signature_param_diff,entity_omission,31,0.5,0.933333
signature_param_diff,signature_rename,433,0.5,0.500577
signature_param_diff,inject_false_constraint,434,0.5,0.5
signature_param_diff,fake_completion,434,0.5,0.5
signature_param_diff,invert_objective,227,0.5,0.656581
signature_param_diff,negate_edge_case,322,0.5,0.574074
signature_param_diff,wrong_algorithm_name,69,0.5,0.862823
nli_contradiction_max,tool_result_drop,112,0.523474,0.813404
nli_contradiction_max,truncation,73,0.497633,0.862143
nli_contradiction_max,over_summarization,127,0.569796,0.812319
nli_contradiction_max,entity_omission,31,0.433366,0.923871
nli_contradiction_max,signature_rename,433,0.492883,0.498024
nli_contradiction_max,inject_false_constraint,434,0.499981,0.500104
nli_contradiction_max,fake_completion,434,0.499257,0.499154
nli_contradiction_max,invert_objective,227,0.405713,0.587836
nli_contradiction_max,negate_edge_case,322,0.4387,0.538385
nli_contradiction_max,wrong_algorithm_name,69,0.489364,0.848643
nli_entailment_mean,tool_result_drop,112,0.61601,0.864378
nli_entailment_mean,truncation,73,0.491857,0.863489
nli_entailment_mean,over_summarization,127,0.564716,0.764747
nli_entailment_mean,entity_omission,31,0.471979,0.928614
nli_entailment_mean,signature_rename,433,0.480205,0.488716
nli_entailment_mean,inject_false_constraint,434,0.500021,0.501699
nli_entailment_mean,fake_completion,434,0.499997,0.501692
nli_entailment_mean,invert_objective,227,0.533811,0.684854
nli_entailment_mean,negate_edge_case,322,0.535303,0.60227
nli_entailment_mean,wrong_algorithm_name,69,0.521355,0.875734
