corruption_type,n_negatives,fast_auroc,combined_auroc,delta_auroc,pct_routed_to_stage2
entity_omission,31,0.509,0.5926,0.0836,77.4
fake_completion,434,0.956,0.9407,-0.0153,27.4
inject_false_constraint,434,0.6147,0.6145,-0.0002,94.9
invert_objective,227,0.4625,0.4688,0.0063,96.5
negate_edge_case,322,0.5101,0.5288,0.0187,95.0
over_summarization,127,0.9989,0.9988,-0.0001,0.0
signature_rename,433,0.5102,0.5115,0.0013,95.6
tool_result_drop,112,0.9997,0.9997,0.0,0.0
truncation,73,0.9269,0.9339,0.007,28.8
wrong_algorithm_name,69,0.5437,0.5157,-0.028,95.7
