model,feature_set,n_features,n_rows,dataset,features_used,oof_auroc,oof_auprc,mean_fold_auroc
RandomForest,RF_Full_11gate,11,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8718,0.8136,0.8718
RandomForest,RF_No_length_ratio,10,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8690,0.8082,0.8690
RandomForest,RF_No_cosine,10,483,final_dataset_full_features_483rows,"entity_overlap, length_ratio, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8685,0.7972,0.8685
RandomForest,RF_No_entity,10,483,final_dataset_full_features_483rows,"cosine_similarity, length_ratio, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8735,0.8228,0.8735
RandomForest,RF_No_fnpreserved,10,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate",0.8648,0.8001,0.8648
RandomForest,RF_Core_3,3,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio",0.8399,0.7906,0.8399
RandomForest,RF_Cosine_only,1,483,final_dataset_full_features_483rows,cosine_similarity,0.6626,0.5941,0.6626
RandomForest,RF_Entity_only,1,483,final_dataset_full_features_483rows,entity_overlap,0.5769,0.5661,0.5769
RandomForest,RF_Length_only,1,483,final_dataset_full_features_483rows,length_ratio,0.8027,0.7440,0.8027
RandomForest,RF_FnPres_only,1,483,final_dataset_full_features_483rows,function_name_preserved,0.7568,0.6791,0.7568
RandomForest,RF_Section_only,1,483,final_dataset_full_features_483rows,section_coverage,0.7635,0.7028,0.7635
RandomForest,RF_No_verbatim,10,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio, sentence_count_ratio, section_coverage, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8701,0.8094,0.8701
RandomForest,RF_No_trailing,10,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio, sentence_count_ratio, section_coverage, verbatim_copy_rate, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8693,0.8041,0.8693
LogisticRegression,LR_Full_11gate,11,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8378,0.7347,0.8378
LogisticRegression,LR_No_length_ratio,10,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8391,0.7427,0.8391
LogisticRegression,LR_No_cosine,10,483,final_dataset_full_features_483rows,"entity_overlap, length_ratio, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8370,0.7332,0.8370
LogisticRegression,LR_Core_3,3,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio",0.8361,0.7529,0.8361
XGBoost,XGB_Full_11gate,11,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8733,0.8007,0.8733
XGBoost,XGB_No_length_ratio,10,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, sentence_count_ratio, section_coverage, verbatim_copy_rate, trailing_specificity, constraint_count, role_pronoun_rate, novel_api_rate, function_name_preserved",0.8712,0.7984,0.8712
XGBoost,XGB_Core_3,3,483,final_dataset_full_features_483rows,"cosine_similarity, entity_overlap, length_ratio",0.8289,0.7756,0.8289
