corruption_type,n,mean_score,std_score,median_score,is_weak_type
over_summarization,63,0.011906499512089509,0.020402498232586472,0.0033333333333333335,False
tool_result_drop,65,0.02869901900331668,0.07302444075462766,0.0033333333333333335,False
truncation,33,0.1892098591014114,0.20920517529865418,0.10063533217279653,False
entity_omission,16,0.3895318822590713,0.27251843065271636,0.29686085214498426,False
fake_completion,11,0.6562907513476515,0.08083788402079185,0.6539903703570729,False
inject_false_constraint,5,0.7650441819077924,0.08702605543998337,0.7330685347583014,False
none,248,0.7824107739288172,0.09547819915906218,0.8106005287666895,False
signature_rename,14,0.7925380495413118,0.09762471719644676,0.8262536223367773,True
wrong_algorithm_name,8,0.7934169436633349,0.10736528714868933,0.8325975586073567,True
invert_objective,14,0.800238820007439,0.07846056718806779,0.8224239053483052,True
negate_edge_case,6,0.8255194402105523,0.05896295339514383,0.8326860351941034,True
